"channel","inventory_row_type","province","city","suburb","area","outlet_name","inventory_name","package_name","slot_label","media_subtype","rate_type","pricing_basis","internal_cost_zar","reference_sell_value_zar","estimated_gross_margin_zar","estimated_gross_margin_percent","raw_rate_zar","cost_zar","investment_zar","cost_per_month_zar","value_zar","inventory_key","source_type"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 15:00-18:00","","15:00-18:00","spot","spot","broadcast_investment_vs_value",,,,,"2750","2750",,,,"radio_slot:d3f3fd52-bb1d-b548-da65-59f22c1d2fd0","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 16:00-20:00","","16:00-20:00","spot","spot","broadcast_investment_vs_value",,,,,"2750","2750",,,,"radio_slot:e6aea7ab-fc1f-aaaa-ea1d-50798fb2fa9c","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 18:00-22:00","","18:00-22:00","spot","spot","broadcast_investment_vs_value",,,,,"2530","2530",,,,"radio_slot:5010cd1f-57f9-8806-a58f-63cabd3c6617","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 20:00-22:00","","20:00-22:00","spot","spot","broadcast_investment_vs_value",,,,,"2530","2530",,,,"radio_slot:307c11d1-5ad5-b788-e8f9-1ddb5395651e","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 22:00-00:00","","22:00-00:00","spot","spot","broadcast_investment_vs_value",,,,,"1290","1290",,,,"radio_slot:c82624c0-caf2-1e5c-462c-a530b1658c6c","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 22:00-00:00","","22:00-00:00","spot","spot","broadcast_investment_vs_value",,,,,"1290","1290",,,,"radio_slot:4927afbf-a7bf-6911-e190-befe28a4a07f","radio_slot"
"radio","package","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - Club Package - Generic & Pre-Rolls - 6 Months","Club Package - Generic & Pre-Rolls - 6 Months","","preroll","package","broadcast_investment_vs_value","336930","576360","239430","71.06",,"56155","336930","56155","576360","radio_package:2081645f-8377-e1ca-f85e-36b761fab519","radio_package"
"radio","package","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - Generic & Sponsorship - 6 Months","Generic & Sponsorship - 6 Months","","sponsorship","package","broadcast_investment_vs_value","288608","577215","288607","100",,"48101","288608","48101","577215","radio_package:7828d907-51de-1b4a-9b7c-218b3f417a77","radio_package"
"radio","package","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - Plan A - Generic Only - 6 Months","Plan A - Generic Only - 6 Months","","generic","package","broadcast_investment_vs_value","239430","478860","239430","100",,"39905","239430","39905","478860","radio_package:3ca94bc5-a086-d891-9401-139dfc792a2e","radio_package"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 00:00-05:00","","00:00-05:00","spot","spot","broadcast_investment_vs_value",,,,,"420","420",,,,"radio_slot:be629608-8560-9c08-2842-315249a31a5f","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 00:00-05:00","","00:00-05:00","spot","spot","broadcast_investment_vs_value",,,,,"420","420",,,,"radio_slot:1d7001bb-46f1-2ba3-ecbe-70617b56c5c9","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 00:00-05:00","","00:00-05:00","spot","spot","broadcast_investment_vs_value",,,,,"420","420",,,,"radio_slot:f121dc43-aee9-d359-9b31-af6f769316b8","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 05:00-06:00","","05:00-06:00","spot","spot","broadcast_investment_vs_value",,,,,"795","795",,,,"radio_slot:2fa1036c-1891-3e38-a716-b47e33b2975e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 05:00-06:00","","05:00-06:00","spot","spot","broadcast_investment_vs_value",,,,,"795","795",,,,"radio_slot:115b1985-9726-0552-043d-6ef2c8e4c7e0","radio_slot"
