"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"radio","package","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - Workzone","generic","Workzone","","english","","package","33350.00","","33350.00","","133950.00","20","","","","false","true","radio_package:43f4d687-b0ff-1097-ea9e-c7e633831ce2","radio_package"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 00:00-03:00","spot","","00:00-03:00","isindebele","30","spot","240.00","240.00","","","","","","","","false","true","radio_slot:680f0ff9-d071-9d86-3658-d84b9e6e598e","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 00:00-03:00","spot","","00:00-03:00","isindebele","30","spot","270.00","270.00","","","","","","","","false","true","radio_slot:f940851a-57df-45bb-d3ed-a6fe6b4e83a3","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 03:00-05:00","spot","","03:00-05:00","isindebele","30","spot","540.00","540.00","","","","","","","","false","true","radio_slot:c3c61062-24fc-b2cf-f008-5b4521c4c5a9","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 03:00-06:00","spot","","03:00-06:00","isindebele","30","spot","480.00","480.00","","","","","","","","false","true","radio_slot:54ef7cb4-4ced-08e5-c183-a92cdd2058e1","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 05:00-06:00","spot","","05:00-06:00","isindebele","30","spot","3210.00","3210.00","","","","","","","","false","true","radio_slot:1c64e6f8-686d-4bc4-35de-4dad5c4c7abe","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 06:00-07:00","spot","","06:00-07:00","isindebele","30","spot","1050.00","1050.00","","","","","","","","false","true","radio_slot:bf7d42b6-a4cb-bd00-c47d-98a6ae17bab8","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 06:00-09:00","spot","","06:00-09:00","isindebele","30","spot","3450.00","3450.00","","","","","","","","false","true","radio_slot:3cf88644-f79c-9153-0052-280b827572ff","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 07:00-09:00","spot","","07:00-09:00","isindebele","30","spot","1650.00","1650.00","","","","","","","","false","true","radio_slot:3f9a37cd-754e-5596-4b5a-e304f0a519d5","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 09:00-10:00","spot","","09:00-10:00","isindebele","30","spot","1050.00","1050.00","","","","","","","","false","true","radio_slot:5c6312e8-7f55-f03e-0058-a1bf5afaf88a","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 09:00-12:00","spot","","09:00-12:00","isindebele","30","spot","2130.00","2130.00","","","","","","","","false","true","radio_slot:58d71c3e-67a4-98ca-ce8a-f921bb21e1f9","radio_slot"
"radio","slot","mpumalanga","","","mpumalanga","regional","regional","Ikwekwezi FM","Ikwekwezi FM - 10:00-12:00","spot","","10:00-12:00","isindebele","30","spot","900.00","900.00","","","","","","","","false","true","radio_slot:28dde455-9e82-701c-af96-82daff05a25d","radio_slot"
