"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Hanging Banner | Indoor","","","N/A","","Static Hanging Banner | Indoor","5000","8500","","","","","","","","false","true","ooh_site:67a8cf73-9ecd-4b6e-8ad7-72f3c92c43f9","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Pillar Wrap | Indoor","","","N/A","","Static Pillar Wrap | Indoor","4500","8500","","","","","","","","false","true","ooh_site:0557c6aa-0e1f-43fe-a7d6-531d90058c84","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Parking Gantry | Outdoor","","","N/A","","Static Parking Gantry | Outdoor","5000","7500","","","","","","","","false","true","ooh_site:61199278-3691-4a4d-b95c-365ecc996ddb","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Parking Wall | Outdoor","","","N/A","","Static Parking Wall | Outdoor","6000","8500","","","","","","","","false","true","ooh_site:6631a78c-08b5-4714-84fe-650917207103","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Lift Panels | Indoor","","","N/A","","Static Lift Panels | Indoor","8500","12500","","","","","","","","false","true","ooh_site:c931fdfb-43b8-484b-ad55-e034295783b3","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Parking Wall | Outdoor","","","N/A","","Static Parking Wall | Outdoor","5000","7500","","","","","","","","false","true","ooh_site:cf63588f-d16d-45e8-b755-c10dcc3e952f","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Glass Balustrades | Indoor","","","N/A","","Static Glass Balustrades | Indoor","5500","8500","","","","","","","","false","true","ooh_site:fa8e9d00-4648-4d75-b6e6-763dfe46bfec","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Wall Banner | Indoor","","","N/A","","Static Wall Banner | Indoor","4500","8500","","","","","","","","false","true","ooh_site:3b09a6e8-da1d-494e-9039-981073cd2f48","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Overhead Banner | Indoor","","","N/A","","Static Overhead Banner | Indoor","4500","8500","","","","","","","","false","true","ooh_site:031253fb-4fe7-44b3-9a49-bd27e8e2a52d","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Elevator Wrap | Indoor","","","N/A","","Static Elevator Wrap | Indoor","18500","22500","","","","","","","","false","true","ooh_site:53bad7b8-8250-4231-ba0a-85b68de8a445","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Lift Door Wrap | Indoor","","","N/A","","Static Lift Door Wrap | Indoor","5500","8500","","","","","","","","false","true","ooh_site:97deb959-b85e-4b03-b9f4-31917e43d6bd","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Escalator Wrap | Indoor","","","N/A","","Static Escalator Wrap | Indoor","8500","10500","","","","","","","","false","true","ooh_site:fb85aca2-0052-40de-80ce-e4eb8aaf2fbf","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Static Entrance Wall | Outdoor","","","N/A","","Static Entrance Wall | Outdoor","42000","48000","","","","","","","","false","true","ooh_site:03f15c2e-11d1-4c5b-8c67-f6bbdfc2c7de","ooh"
"ooh","site","Somerset Mall,","Cape Town","Somerset West","Somerset West","Somerset Mall,","","BlackSpace","N2 | Somerset Mall,, Cape Town","Cape Town","","","N/A","","Cape Town","50000","60000","","","","","","","","false","true","ooh_site:853b66f4-6a3c-4394-9ff9-ea3c6e9c551a","ooh"
"ooh","site","Soshanguve","Pretoria","Soshanguve","Soshanguve","Soshanguve","","BlackSpace","M43 | Soshanguve, Crossing Mall, Pretoria","Crossing Mall, Pretoria","","","N/A","","Crossing Mall, Pretoria","25000","30000","","","","","","","","false","true","ooh_site:46d95f08-87d0-4b95-8b4c-5824b77be98d","ooh"
"ooh","site","The Glen,","Johannesburg","The Glen Mall, Oakdene","The Glen Mall, Oakdene","The Glen,","","BlackSpace","N12 | The Glen,, Johannesburg","Johannesburg","","","N/A","","Johannesburg","80000","100000","","","","","","","","false","true","ooh_site:d45a4546-5776-4d3d-9978-d604b3ce5bc4","ooh"
"ooh","site","Western Cape","Cape Town","Brackenfell","Brackenfell","Western Cape","","BlackSpace","Cape Gate Mall,, Cape Town","Static Hanging Banner | Indoor","","","N/A","","Static Hanging Banner | Indoor","25000","35000","","","","","","","","false","true","ooh_site:56f6b011-169c-4b69-9e86-30713dbe9795","ooh"
"ooh","site","Western Cape","Cape Town","Brackenfell","Brackenfell","Western Cape","","BlackSpace","Cape Gate Mall,, Cape Town","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","15000","20000","","","","","","","","false","true","ooh_site:128deeaf-4ef3-4fd1-9b5e-24c6bda137f9","ooh"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","20000","30000","","","","","","","","false","true","ooh_site:758d9d34-0f92-401b-8350-fdefd76685f5","ooh"
