"supplier","site_code","site_name","city","suburb","province","inventory_rows","venue_type","premium_mass_fit","price_positioning_fit","audience_income_fit","youth_fit","family_fit","professional_fit","commuter_fit","tourist_fit","high_value_shopper_fit","audience_age_skew","audience_gender_skew","dwell_time_score","environment_type","buying_behaviour_fit","primary_audience_tags","secondary_audience_tags","recommendation_tags","intelligence_notes","data_confidence","updated_by"
"Eleven8","KZN07","UKZN","Morningside","Morningside","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN16","Umhlanga Centre Granada Square","Umhlanga","Umhlanga","KwaZulu-Natal","2","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN08","Watercrest Mall","Hillcrest","Hillcrest","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN09","Westown Square","Durban CBD","Durban CBD","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","NW01","Matlosana Mall","Klerksdorp","Klerksdorp","North West","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","FS01","Northridge Mall","Bloemfontein","Bloemfontein","Other","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","MP01","Secunda Mall","Secunda","Secunda","Other","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC01","Blue Route Mall","Tokai/Constantia","Tokai/Constantia","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC02","Canal Walk Shopping Centre","Milnerton","Milnerton","Western Cape","6","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC03","Cape Gate Shopping Centre","Brackenfell","Brackenfell","Western Cape","3","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC04","Cape Peninsula University of Technology","Cape Town CBD","Cape Town CBD","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC05","Cape Town Inner City","Cape Town CBD","Cape Town CBD","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC06","Drakenstein Mall","Paarl","Paarl","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC07","Eikestad Mall","Stellenbosch","Stellenbosch","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC08","Garden Route Mall","George","George","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC09","Gugulethu Square","Gugulethu","Gugulethu","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC10","Kenilworth Centre","Kenilworth","Kenilworth","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC11","Khayelitsha Mall & Taxi Rank","Khayelitsha","Khayelitsha","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC12","Knysna Mall","Knysna","Knysna","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC13","N1 City Mall","Cape Town","Cape Town","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC15","R44 & R304 Stellenbosch","Stellenbosch","Stellenbosch","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC14","Riverlands Mall","Cape Town","Cape Town","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC17","Table Bay Mall","Sunningdale","Sunningdale","Western Cape","2","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC18","The Point Mall","Sea Point","Sea Point","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","WC19","Waterstone Village","Somerset West","Somerset West","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
