inventory_key,channel,inventory_row_type,source_table,source_id,source_type,outlet_code,outlet_name,inventory_name,media_subtype,package_name,slot_label,day_group,start_time,end_time,province,city,suburb,area,region_cluster_code,market_scope,coverage_type,market_tier,language_display,language_notes,broadcast_frequency,duration_seconds,rate_type,cost_zar,raw_rate_zar,investment_zar,cost_per_month_zar,value_zar,exposure_count,monthly_exposure_count,duration_weeks,duration_months,is_available,package_only,is_national,has_pricing,listenership_daily,listenership_weekly,listenership_period,existing_target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,existing_audience_racial_skew,existing_urban_rural_mix,existing_audience_keywords,existing_source_notes,enrich_target_audience,enrich_audience_age_skew,enrich_audience_gender_skew,enrich_audience_lsm_range,enrich_audience_racial_skew,enrich_urban_rural_mix,enrich_audience_keywords,enrich_buying_behaviour_fit,enrich_price_positioning_fit,enrich_sales_model_fit,enrich_objective_fit_primary,enrich_objective_fit_secondary,enrich_environment_type,enrich_premium_mass_fit,enrich_data_confidence,enrich_notes
ooh_site:4c5d9a8a-1325-499e-a666-93759f72d925,ooh,site,inventory_items_final,4c5d9a8a-1325-499e-a666-93759f72d925,ooh,,BlackSpace,"Gandhi Square,, Johannesburg",Static Wall Wrap | Outdoor,,,,,,Gauteng,Johannesburg,"Gandhi Square, Marshalltown","Gandhi Square, Marshalltown",gauteng,Gauteng,,,N/A,,,,Static Wall Wrap | Outdoor,120000,160000,,,,,,,,Immediately,false,false,true,,,,,,,4 ? 9+,,,,"1 500 000 | 25m (h) x 20m (w) +25m (h) x 50m (w) | PVC | Yes | Production & 80 000
 29 Rissik Street, Johannesburg.","","","","","","","","","","","","","","","",""
ooh_site:f6fba2e4-5055-4fe9-bacd-13b8f155fee1,ooh,site,inventory_items_final,f6fba2e4-5055-4fe9-bacd-13b8f155fee1,ooh,,BlackSpace,"Gugulethu Crossing,, Cape Town",Static Wrap | Outdoor,,,,,,Western Cape,Cape Town,Gugulethu,Gugulethu,western-cape,Western Cape,,,N/A,,,,Static Wrap | Outdoor,55000,70000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,4?8 Gugulethu,,,,"800 000 | 5m (h) x 50m (w) = 250m? | PVC | Yes | Production & 45 500
 Klipfontein Road, Gugulethu,","","","","","","","","","","","","","","","",""
ooh_site:0c2a5fe8-8ff4-4d61-9351-84adf57b163e,ooh,site,inventory_items_final,0c2a5fe8-8ff4-4d61-9351-84adf57b163e,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Escalator Wrap | indoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Escalator Wrap | indoor,10000,15000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | m (h) x m (w) = m? (TBC) | Contra Vision | Vinyl | Yes | 15 600
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:6395c523-a039-4522-89ce-3f2b437b0f5c,ooh,site,inventory_items_final,6395c523-a039-4522-89ce-3f2b437b0f5c,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Atrium Walls | indoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Atrium Walls | indoor,5000,8000,,,,,,,,Immediately,false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | 1,5m (h) x 18m (w) = 27m? | PVC | Yes | 15 000
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:b84a3518-78f1-459e-b042-b31d0a861417,ooh,site,inventory_items_final,b84a3518-78f1-459e-b042-b31d0a861417,ooh,,BlackSpace,"Hemingways Mall,, East London",Digital Screen | indoor,,,,,,Eastern Cape,East London,Cambridge,Cambridge,eastern-cape,Eastern Cape,,,N/A,,,,Digital Screen | indoor,6000,8000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | 1,2m (h) x 2,5m (w) = 3m?","","","","","","","","","","","","","","","",""
ooh_site:f886d328-add2-47f0-aeb8-0cd0f7b47865,ooh,site,inventory_items_final,f886d328-add2-47f0-aeb8-0cd0f7b47865,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Glass Wall Wrap | Outdoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Glass Wall Wrap | Outdoor,10000,12000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"560 000 | m (h) x m (w) = m? (TBC) | Contra Vision | Vinyl | Yes | 15 000
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:f6f98ced-a366-4a45-a303-b27b52d7882d,ooh,site,inventory_items_final,f6f98ced-a366-4a45-a303-b27b52d7882d,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Exit Wall Banner | indoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Exit Wall Banner | indoor,6500,8500,,,,,,,,Immediately,false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | 3,7m (h) x 4m (w) = 14,8m? | PVC | Yes | 9 600
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:67ed9381-9095-4299-a5a5-d876299f65cf,ooh,site,inventory_items_final,67ed9381-9095-4299-a5a5-d876299f65cf,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Parking Wall | Outdoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Parking Wall | Outdoor,12000,15000,,,,,,,,Immediately,false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | 3m (h) x 8m (w) = 24m? | PVC | Yes | 15 000
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:102b5f70-9108-40af-81fd-1215a3c322a6,ooh,site,inventory_items_final,102b5f70-9108-40af-81fd-1215a3c322a6,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Elevator Panels | indoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Elevator Panels | indoor,8000,10000,,,,,,,,Immediately,false,false,true,,,,,,,5 ? 10+ Hemingways,,,,"560 000 | 1,21m (h) x 1,98m (w) = 2,39m? | Contra Vision | Vinyl | Yes | 15 000
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
ooh_site:9d585900-d9b3-4d5e-84f0-46d7329bc5c9,ooh,site,inventory_items_final,9d585900-d9b3-4d5e-84f0-46d7329bc5c9,ooh,,BlackSpace,"Hemingways Mall,, East London",Static Sky Cube | indoor,,,,,,Eastern Cape,East London,Cambridge Production &,Cambridge Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Sky Cube | indoor,10000,15000,,,,,,,,"Immediately Hemingways
Traffic Count: 560 000 GPS Coordinates:",false,false,true,,,,,,,5 ? 10+,,,,"560 000 | 1,5m (h) x 6m (w) = 9m? | PVC | Yes | 18 000
 Hemingways Mall, Cnr Western Avenue","","","","","","","","","","","","","","","",""
