"supplier","source_file","current_site_name","current_media_type","current_city","current_suburb","current_province","current_site_code","current_discounted_rate_zar","current_rate_card_zar","flags","corrected_site_name","corrected_media_type","corrected_city","corrected_suburb","corrected_province","corrected_site_code","corrected_discounted_rate_zar","corrected_rate_card_zar","correction_notes","verified_source","verified_by"
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","M43 | Soshanguve, Crossing Mall, Pretoria","Crossing Mall, Pretoria","Pretoria","Soshanguve","Soshanguve","","25000","30000","missing_site_code;province_parse_check","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","N12 | The Glen,, Johannesburg","Johannesburg","Johannesburg","The Glen Mall, Oakdene","The Glen,","","80000","100000","missing_site_code;province_parse_check","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","N2 | Somerset Mall,, Cape Town","Cape Town","Cape Town","Somerset West","Somerset Mall,","","50000","60000","missing_site_code;province_parse_check","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Nonkqubela Taxi, Rank, Cape Town","Static Billboard | Outdoor","Cape Town","Khaylitsha","Western Cape","","50000","65000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Rosebank,, Johannesburg","Digital Screen | Indoor","Johannesburg","Rosebank Mall, Rosebank","Gauteng","","15000","20000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Rosebank,, Johannesburg","Static Corner Wrap | Outdoor","Johannesburg","Rosebank Mall, Rosebank","Gauteng","","25000","30000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Somerset Mall,, Cape Town","Digital Screen | Outdoor","Cape Town","Somerset West","Western Cape","","50000","60000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Soweto,, Johannesburg","Static Billboard | Outdoor","Johannesburg","DiepKloof, Soweto","Gauteng","","40000","45000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Soweto,, Johannesburg","Static Parking Wrap | Outdoor","Johannesburg","Fleufhof, Soweto","Gauteng","","45000","55000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Digital Screen | Outdoor","Pretoria","Soshanguve","Gauteng","","10000","15000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Elevator Wrap | Indoor","Pretoria","Sunnyside","Gauteng","","18500","22500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Entrance Wall | Outdoor","Pretoria","Sunnyside","Gauteng","","42000","48000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Escalator Wrap | Indoor","Pretoria","Sunnyside","Gauteng","","8500","10500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Glass Balustrades | Indoor","Pretoria","Sunnyside","Gauteng","","5500","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Hanging Banner | Indoor","Pretoria","Sunnyside","Gauteng","","5000","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Lift Door Wrap | Indoor","Pretoria","Sunnyside","Gauteng","","5500","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Lift Panels | Indoor","Pretoria","Sunnyside","Gauteng","","8500","12500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Overhead Banner | Indoor","Pretoria","Sunnyside","Gauteng","","4500","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Parking Gantry | Outdoor","Pretoria","Sunnyside","Gauteng","","5000","7500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Parking Wall | Outdoor","Pretoria","Sunnyside","Gauteng","","6000","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Parking Wall | Outdoor","Pretoria","Sunnyside","Gauteng","","5000","7500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Pillar Wrap | Indoor","Pretoria","Sunnyside","Gauteng","","4500","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Sunnypark Shopping, Centre, Pretoria","Static Wall Banner | Indoor","Pretoria","Sunnyside","Gauteng","","4500","8500","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","The Glen Mall,, Johannesburg","Digital Screen | Indoor","Johannesburg","The Glen Mall, Oakdene","Gauteng","","15000","20000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Wynberg Taxi Rank,, Cape Town","Static Billboard | Outdoor","Cape Town","Wynberg","Western Cape","","35000","45000","missing_site_code","","","","","","","","","","",""
